number,governorate,district,sub_district,community,latitude_y,longitude_x,temp_code,site_name,type_of_location,shelter_details,newly_established_yn,date_of_input,planned_capacity_hh,families,individuals,girls_children_under_18_18,boys_children_under_18_18,women_female_adults,men_male_adults,full_name,phone,organization_name,comments,cccm,shelter,nfi,wash,fsl,education,cash,protection,nutrition,erl,health,severity_scale_wash_fsl_health_shelter,cccm_2,shelter_2,nfi_2,wash_2,fsl_2,education_2,cash_2,protection_2,nutrition_2,erl_2,health_2,cccm_3,cccm_contact,shelter_3,shelter_contact,nfi_3,nfi_contact,wash_3,wash_contact,fsl_3,fsl_contact,education_3,fsl_contact_2,cash_3,education_contact,protection_3,protection_contact,nutrition_3,nutrition_contact,erl_3,erl_contact,health_3,health_contact,status,admin4pcode,admin1pcode,site_name_ar,admin3pcode,geometry
6,Idleb,Harim,Salqin,Azmarin,36.060964,36.405954,N/A,Soq alhal Center   ,Collective Center  ,Tents,Yes ,2023-03-02,75,0,0,0,0,0,0,Rami Al-Shami,37066143849,Relief office in Salqin,"The site was evacuated, and the families returned to the villages of Salqin.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ehsan Organization,NA,IYD,NA,NA,NA,NA,Anser Organization,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,closed,C4143,SY07, مركز سوق الهال,SY070302,"c(36.456096, 36.143511)"
6,Idleb,Harim,Salqin,Azmarin,36.060964,36.405954,N/A,Soq alhal Center   ,Collective Center  ,Tents,Yes ,2023-03-02,75,0,0,0,0,0,0,Rami Al-Shami,37066143849,Relief office in Salqin,"The site was evacuated, and the families returned to the villages of Salqin.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ehsan Organization,NA,IYD,NA,NA,NA,NA,Anser Organization,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,closed,C4143,SY07, مركز سوق الهال,SY070302,"c(36.4487, 36.1399248)"
6,Idleb,Harim,Salqin,Azmarin,36.060964,36.405954,N/A,Soq alhal Center   ,Collective Center  ,Tents,Yes ,2023-03-02,75,0,0,0,0,0,0,Rami Al-Shami,37066143849,Relief office in Salqin,"The site was evacuated, and the families returned to the villages of Salqin.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ehsan Organization,NA,IYD,NA,NA,NA,NA,Anser Organization,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,closed,C4143,SY07, مركز سوق الهال,SY070302,"c(36.447839, 36.135247)"
6,Idleb,Harim,Salqin,Azmarin,36.060964,36.405954,N/A,Soq alhal Center   ,Collective Center  ,Tents,Yes ,2023-03-02,75,0,0,0,0,0,0,Rami Al-Shami,37066143849,Relief office in Salqin,"The site was evacuated, and the families returned to the villages of Salqin.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ehsan Organization,NA,IYD,NA,NA,NA,NA,Anser Organization,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,closed,C4143,SY07, مركز سوق الهال,SY070302,"c(36.440353, 36.137876)"
6,Idleb,Harim,Salqin,Azmarin,36.060964,36.405954,N/A,Soq alhal Center   ,Collective Center  ,Tents,Yes ,2023-03-02,75,0,0,0,0,0,0,Rami Al-Shami,37066143849,Relief office in Salqin,"The site was evacuated, and the families returned to the villages of Salqin.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ehsan Organization,NA,IYD,NA,NA,NA,NA,Anser Organization,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,closed,C4143,SY07, مركز سوق الهال,SY070302,"c(36.407574, 36.181694)"
6,Idleb,Harim,Salqin,Azmarin,36.060964,36.405954,N/A,Soq alhal Center   ,Collective Center  ,Tents,Yes ,2023-03-02,75,0,0,0,0,0,0,Rami Al-Shami,37066143849,Relief office in Salqin,"The site was evacuated, and the families returned to the villages of Salqin.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ehsan Organization,NA,IYD,NA,NA,NA,NA,Anser Organization,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,closed,C4143,SY07, مركز سوق الهال,SY070302,"c(36.378282, 36.167218)"
6,Idleb,Harim,Salqin,Azmarin,36.060964,36.405954,N/A,Soq alhal Center   ,Collective Center  ,Tents,Yes ,2023-03-02,75,0,0,0,0,0,0,Rami Al-Shami,37066143849,Relief office in Salqin,"The site was evacuated, and the families returned to the villages of Salqin.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ehsan Organization,NA,IYD,NA,NA,NA,NA,Anser Organization,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,closed,C4143,SY07, مركز سوق الهال,SY070302,"c(36.41998, 36.187131)"
6,Idleb,Harim,Salqin,Azmarin,36.060964,36.405954,N/A,Soq alhal Center   ,Collective Center  ,Tents,Yes ,2023-03-02,75,0,0,0,0,0,0,Rami Al-Shami,37066143849,Relief office in Salqin,"The site was evacuated, and the families returned to the villages of Salqin.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ehsan Organization,NA,IYD,NA,NA,NA,NA,Anser Organization,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,closed,C4143,SY07, مركز سوق الهال,SY070302,"c(36.414012, 36.193607)"
6,Idleb,Harim,Salqin,Azmarin,36.060964,36.405954,N/A,Soq alhal Center   ,Collective Center  ,Tents,Yes ,2023-03-02,75,0,0,0,0,0,0,Rami Al-Shami,37066143849,Relief office in Salqin,"The site was evacuated, and the families returned to the villages of Salqin.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ehsan Organization,NA,IYD,NA,NA,NA,NA,Anser Organization,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,closed,C4143,SY07, مركز سوق الهال,SY070302,"c(36.449861, 36.149361)"
6,Idleb,Harim,Salqin,Azmarin,36.060964,36.405954,N/A,Soq alhal Center   ,Collective Center  ,Tents,Yes ,2023-03-02,75,0,0,0,0,0,0,Rami Al-Shami,37066143849,Relief office in Salqin,"The site was evacuated, and the families returned to the villages of Salqin.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ehsan Organization,NA,IYD,NA,NA,NA,NA,Anser Organization,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,closed,C4143,SY07, مركز سوق الهال,SY070302,"c(36.439492, 36.130177)"
6,Idleb,Harim,Salqin,Azmarin,36.060964,36.405954,N/A,Soq alhal Center   ,Collective Center  ,Tents,Yes ,2023-03-02,75,0,0,0,0,0,0,Rami Al-Shami,37066143849,Relief office in Salqin,"The site was evacuated, and the families returned to the villages of Salqin.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ehsan Organization,NA,IYD,NA,NA,NA,NA,Anser Organization,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,closed,C4143,SY07, مركز سوق الهال,SY070302,"c(36.387247, 36.156678)"
6,Idleb,Harim,Salqin,Azmarin,36.060964,36.405954,N/A,Soq alhal Center   ,Collective Center  ,Tents,Yes ,2023-03-02,75,0,0,0,0,0,0,Rami Al-Shami,37066143849,Relief office in Salqin,"The site was evacuated, and the families returned to the villages of Salqin.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ehsan Organization,NA,IYD,NA,NA,NA,NA,Anser Organization,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,closed,C4143,SY07, مركز سوق الهال,SY070005,"c(36.698879, 36.110227)"
6,Idleb,Harim,Salqin,Azmarin,36.060964,36.405954,N/A,Soq alhal Center   ,Collective Center  ,Tents,Yes ,2023-03-02,75,0,0,0,0,0,0,Rami Al-Shami,37066143849,Relief office in Salqin,"The site was evacuated, and the families returned to the villages of Salqin.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ehsan Organization,NA,IYD,NA,NA,NA,NA,Anser Organization,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,closed,C4143,SY07, مركز سوق الهال,SY070000,"c(36.623923, 35.937926)"
6,Idleb,Harim,Salqin,Azmarin,36.060964,36.405954,N/A,Soq alhal Center   ,Collective Center  ,Tents,Yes ,2023-03-02,75,0,0,0,0,0,0,Rami Al-Shami,37066143849,Relief office in Salqin,"The site was evacuated, and the families returned to the villages of Salqin.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ehsan Organization,NA,IYD,NA,NA,NA,NA,Anser Organization,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,closed,C4143,SY07, مركز سوق الهال,SY020800,"c(38.009089, 36.818051)"
6,Idleb,Harim,Salqin,Azmarin,36.060964,36.405954,N/A,Soq alhal Center   ,Collective Center  ,Tents,Yes ,2023-03-02,75,0,0,0,0,0,0,Rami Al-Shami,37066143849,Relief office in Salqin,"The site was evacuated, and the families returned to the villages of Salqin.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ehsan Organization,NA,IYD,NA,NA,NA,NA,Anser Organization,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,closed,C4143,SY07, مركز سوق الهال,SY020400,"c(37.071742, 36.601288)"
7,Idleb,Harim,Salqin,Azmarin,36.054596,36.398938,N/A,Aiz marin al oroba Center    ,Collective Center  ,Tents,Yes ,2023-03-02,60,0,0,0,0,0,0,Rami Al-Shami,37066143849,Relief office in Salqin,"The site was evacuated, and the families returned to the villages of Salqin.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ehsan Organization,NA,IYD,NA,NA,NA,NA,Anser Organization,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,closed,C4143,SY07, مركز عزمارين العروبة,SY070005,"c(36.674523, 36.018176)"
7,Idleb,Harim,Salqin,Azmarin,36.054596,36.398938,N/A,Aiz marin al oroba Center    ,Collective Center  ,Tents,Yes ,2023-03-02,60,0,0,0,0,0,0,Rami Al-Shami,37066143849,Relief office in Salqin,"The site was evacuated, and the families returned to the villages of Salqin.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ehsan Organization,NA,IYD,NA,NA,NA,NA,Anser Organization,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,closed,C4143,SY07, مركز عزمارين العروبة,SY070005,"c(36.66496, 35.999805)"
7,Idleb,Harim,Salqin,Azmarin,36.054596,36.398938,N/A,Aiz marin al oroba Center    ,Collective Center  ,Tents,Yes ,2023-03-02,60,0,0,0,0,0,0,Rami Al-Shami,37066143849,Relief office in Salqin,"The site was evacuated, and the families returned to the villages of Salqin.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ehsan Organization,NA,IYD,NA,NA,NA,NA,Anser Organization,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,closed,C4143,SY07, مركز عزمارين العروبة,SY070302,"c(36.405954, 36.060964)"
7,Idleb,Harim,Salqin,Azmarin,36.054596,36.398938,N/A,Aiz marin al oroba Center    ,Collective Center  ,Tents,Yes ,2023-03-02,60,0,0,0,0,0,0,Rami Al-Shami,37066143849,Relief office in Salqin,"The site was evacuated, and the families returned to the villages of Salqin.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ehsan Organization,NA,IYD,NA,NA,NA,NA,Anser Organization,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,closed,C4143,SY07, مركز عزمارين العروبة,SY070302,"c(36.398938, 36.054596)"
7,Idleb,Harim,Salqin,Azmarin,36.054596,36.398938,N/A,Aiz marin al oroba Center    ,Collective Center  ,Tents,Yes ,2023-03-02,60,0,0,0,0,0,0,Rami Al-Shami,37066143849,Relief office in Salqin,"The site was evacuated, and the families returned to the villages of Salqin.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ehsan Organization,NA,IYD,NA,NA,NA,NA,Anser Organization,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,closed,C4143,SY07, مركز عزمارين العروبة,SY070302,"c(36.456096, 36.143511)"
7,Idleb,Harim,Salqin,Azmarin,36.054596,36.398938,N/A,Aiz marin al oroba Center    ,Collective Center  ,Tents,Yes ,2023-03-02,60,0,0,0,0,0,0,Rami Al-Shami,37066143849,Relief office in Salqin,"The site was evacuated, and the families returned to the villages of Salqin.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ehsan Organization,NA,IYD,NA,NA,NA,NA,Anser Organization,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,closed,C4143,SY07, مركز عزمارين العروبة,SY070302,"c(36.4487, 36.1399248)"
7,Idleb,Harim,Salqin,Azmarin,36.054596,36.398938,N/A,Aiz marin al oroba Center    ,Collective Center  ,Tents,Yes ,2023-03-02,60,0,0,0,0,0,0,Rami Al-Shami,37066143849,Relief office in Salqin,"The site was evacuated, and the families returned to the villages of Salqin.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ehsan Organization,NA,IYD,NA,NA,NA,NA,Anser Organization,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,closed,C4143,SY07, مركز عزمارين العروبة,SY070302,"c(36.447839, 36.135247)"
7,Idleb,Harim,Salqin,Azmarin,36.054596,36.398938,N/A,Aiz marin al oroba Center    ,Collective Center  ,Tents,Yes ,2023-03-02,60,0,0,0,0,0,0,Rami Al-Shami,37066143849,Relief office in Salqin,"The site was evacuated, and the families returned to the villages of Salqin.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ehsan Organization,NA,IYD,NA,NA,NA,NA,Anser Organization,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,closed,C4143,SY07, مركز عزمارين العروبة,SY070302,"c(36.440353, 36.137876)"
7,Idleb,Harim,Salqin,Azmarin,36.054596,36.398938,N/A,Aiz marin al oroba Center    ,Collective Center  ,Tents,Yes ,2023-03-02,60,0,0,0,0,0,0,Rami Al-Shami,37066143849,Relief office in Salqin,"The site was evacuated, and the families returned to the villages of Salqin.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ehsan Organization,NA,IYD,NA,NA,NA,NA,Anser Organization,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,closed,C4143,SY07, مركز عزمارين العروبة,SY070302,"c(36.407574, 36.181694)"
7,Idleb,Harim,Salqin,Azmarin,36.054596,36.398938,N/A,Aiz marin al oroba Center    ,Collective Center  ,Tents,Yes ,2023-03-02,60,0,0,0,0,0,0,Rami Al-Shami,37066143849,Relief office in Salqin,"The site was evacuated, and the families returned to the villages of Salqin.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ehsan Organization,NA,IYD,NA,NA,NA,NA,Anser Organization,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,closed,C4143,SY07, مركز عزمارين العروبة,SY070302,"c(36.378282, 36.167218)"
7,Idleb,Harim,Salqin,Azmarin,36.054596,36.398938,N/A,Aiz marin al oroba Center    ,Collective Center  ,Tents,Yes ,2023-03-02,60,0,0,0,0,0,0,Rami Al-Shami,37066143849,Relief office in Salqin,"The site was evacuated, and the families returned to the villages of Salqin.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ehsan Organization,NA,IYD,NA,NA,NA,NA,Anser Organization,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,closed,C4143,SY07, مركز عزمارين العروبة,SY070302,"c(36.41998, 36.187131)"
7,Idleb,Harim,Salqin,Azmarin,36.054596,36.398938,N/A,Aiz marin al oroba Center    ,Collective Center  ,Tents,Yes ,2023-03-02,60,0,0,0,0,0,0,Rami Al-Shami,37066143849,Relief office in Salqin,"The site was evacuated, and the families returned to the villages of Salqin.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ehsan Organization,NA,IYD,NA,NA,NA,NA,Anser Organization,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,closed,C4143,SY07, مركز عزمارين العروبة,SY070302,"c(36.414012, 36.193607)"
7,Idleb,Harim,Salqin,Azmarin,36.054596,36.398938,N/A,Aiz marin al oroba Center    ,Collective Center  ,Tents,Yes ,2023-03-02,60,0,0,0,0,0,0,Rami Al-Shami,37066143849,Relief office in Salqin,"The site was evacuated, and the families returned to the villages of Salqin.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ehsan Organization,NA,IYD,NA,NA,NA,NA,Anser Organization,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,closed,C4143,SY07, مركز عزمارين العروبة,SY070302,"c(36.449861, 36.149361)"
7,Idleb,Harim,Salqin,Azmarin,36.054596,36.398938,N/A,Aiz marin al oroba Center    ,Collective Center  ,Tents,Yes ,2023-03-02,60,0,0,0,0,0,0,Rami Al-Shami,37066143849,Relief office in Salqin,"The site was evacuated, and the families returned to the villages of Salqin.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ehsan Organization,NA,IYD,NA,NA,NA,NA,Anser Organization,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,closed,C4143,SY07, مركز عزمارين العروبة,SY070302,"c(36.439492, 36.130177)"
7,Idleb,Harim,Salqin,Azmarin,36.054596,36.398938,N/A,Aiz marin al oroba Center    ,Collective Center  ,Tents,Yes ,2023-03-02,60,0,0,0,0,0,0,Rami Al-Shami,37066143849,Relief office in Salqin,"The site was evacuated, and the families returned to the villages of Salqin.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ehsan Organization,NA,IYD,NA,NA,NA,NA,Anser Organization,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,closed,C4143,SY07, مركز عزمارين العروبة,SY070302,"c(36.387247, 36.156678)"
7,Idleb,Harim,Salqin,Azmarin,36.054596,36.398938,N/A,Aiz marin al oroba Center    ,Collective Center  ,Tents,Yes ,2023-03-02,60,0,0,0,0,0,0,Rami Al-Shami,37066143849,Relief office in Salqin,"The site was evacuated, and the families returned to the villages of Salqin.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ehsan Organization,NA,IYD,NA,NA,NA,NA,Anser Organization,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,closed,C4143,SY07, مركز عزمارين العروبة,SY070005,"c(36.698879, 36.110227)"
7,Idleb,Harim,Salqin,Azmarin,36.054596,36.398938,N/A,Aiz marin al oroba Center    ,Collective Center  ,Tents,Yes ,2023-03-02,60,0,0,0,0,0,0,Rami Al-Shami,37066143849,Relief office in Salqin,"The site was evacuated, and the families returned to the villages of Salqin.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ehsan Organization,NA,IYD,NA,NA,NA,NA,Anser Organization,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,closed,C4143,SY07, مركز عزمارين العروبة,SY070000,"c(36.623923, 35.937926)"
7,Idleb,Harim,Salqin,Azmarin,36.054596,36.398938,N/A,Aiz marin al oroba Center    ,Collective Center  ,Tents,Yes ,2023-03-02,60,0,0,0,0,0,0,Rami Al-Shami,37066143849,Relief office in Salqin,"The site was evacuated, and the families returned to the villages of Salqin.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ehsan Organization,NA,IYD,NA,NA,NA,NA,Anser Organization,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,closed,C4143,SY07, مركز عزمارين العروبة,SY020800,"c(38.009089, 36.818051)"
7,Idleb,Harim,Salqin,Azmarin,36.054596,36.398938,N/A,Aiz marin al oroba Center    ,Collective Center  ,Tents,Yes ,2023-03-02,60,0,0,0,0,0,0,Rami Al-Shami,37066143849,Relief office in Salqin,"The site was evacuated, and the families returned to the villages of Salqin.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ehsan Organization,NA,IYD,NA,NA,NA,NA,Anser Organization,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,closed,C4143,SY07, مركز عزمارين العروبة,SY020400,"c(37.071742, 36.601288)"
8,Idleb,Harim,Salqin,Faroukiyeh,36.183683,36.409291,CP001934,Ibn Sariaa   ,Planned Camp  ,Tents,Yes ,2023-03-02,250,0,0,0,0,0,0,Rami Al-Shami,37066143849,Relief office in Salqin,"The site was evacuated, and the families returned to the villages of Salqin.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,closed,C6619,SY07, ابن سريع,SY070302,"c(36.409291, 36.183683)"
9,Idleb,Harim,Salqin,  Salqin,36.143511,36.456096,N/A,Alshohada ,Collective Center  ,Tents,Yes ,2023-03-02,75,0,0,0,0,0,0,Rami Al-Shami,37066143849,Relief office in Salqin,The camp was transferred to Atta Khairat RC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WATAN,NA,IYD,NA,NA,NA,NA,Anser Organization,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,closed,NA,SY07, الشهداء,SY070005,"c(36.674523, 36.018176)"
9,Idleb,Harim,Salqin,  Salqin,36.143511,36.456096,N/A,Alshohada ,Collective Center  ,Tents,Yes ,2023-03-02,75,0,0,0,0,0,0,Rami Al-Shami,37066143849,Relief office in Salqin,The camp was transferred to Atta Khairat RC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WATAN,NA,IYD,NA,NA,NA,NA,Anser Organization,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,closed,NA,SY07, الشهداء,SY070005,"c(36.66496, 35.999805)"
9,Idleb,Harim,Salqin,  Salqin,36.143511,36.456096,N/A,Alshohada ,Collective Center  ,Tents,Yes ,2023-03-02,75,0,0,0,0,0,0,Rami Al-Shami,37066143849,Relief office in Salqin,The camp was transferred to Atta Khairat RC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WATAN,NA,IYD,NA,NA,NA,NA,Anser Organization,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,closed,NA,SY07, الشهداء,SY070302,"c(36.405954, 36.060964)"
9,Idleb,Harim,Salqin,  Salqin,36.143511,36.456096,N/A,Alshohada ,Collective Center  ,Tents,Yes ,2023-03-02,75,0,0,0,0,0,0,Rami Al-Shami,37066143849,Relief office in Salqin,The camp was transferred to Atta Khairat RC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WATAN,NA,IYD,NA,NA,NA,NA,Anser Organization,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,closed,NA,SY07, الشهداء,SY070302,"c(36.398938, 36.054596)"
9,Idleb,Harim,Salqin,  Salqin,36.143511,36.456096,N/A,Alshohada ,Collective Center  ,Tents,Yes ,2023-03-02,75,0,0,0,0,0,0,Rami Al-Shami,37066143849,Relief office in Salqin,The camp was transferred to Atta Khairat RC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WATAN,NA,IYD,NA,NA,NA,NA,Anser Organization,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,closed,NA,SY07, الشهداء,SY070302,"c(36.456096, 36.143511)"
9,Idleb,Harim,Salqin,  Salqin,36.143511,36.456096,N/A,Alshohada ,Collective Center  ,Tents,Yes ,2023-03-02,75,0,0,0,0,0,0,Rami Al-Shami,37066143849,Relief office in Salqin,The camp was transferred to Atta Khairat RC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WATAN,NA,IYD,NA,NA,NA,NA,Anser Organization,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,closed,NA,SY07, الشهداء,SY070302,"c(36.4487, 36.1399248)"
9,Idleb,Harim,Salqin,  Salqin,36.143511,36.456096,N/A,Alshohada ,Collective Center  ,Tents,Yes ,2023-03-02,75,0,0,0,0,0,0,Rami Al-Shami,37066143849,Relief office in Salqin,The camp was transferred to Atta Khairat RC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WATAN,NA,IYD,NA,NA,NA,NA,Anser Organization,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,closed,NA,SY07, الشهداء,SY070302,"c(36.447839, 36.135247)"
